,power_1,differential_entropy1,mean1,std1,skew1,kurtosis1,iqr1,median1,hjorth_01,hjorth_11,ftime
27,16309.612238107928,6.2172173878608605,32060.315944223104,125.81505271819802,-0.2680458453221497,0.2373418736598727,168.29249999999956,84.3799999999992,0.0038008526060893514,1.1824902862670499,1900-01-01 12:25:50
28,16680.04963706201,6.246259686598056,32048.76415230461,131.8276662016939,-0.6014530821530626,0.9438813377919986,162.07000000000335,80.77000000000044,0.0037215181552749965,1.183302712030258,1900-01-01 12:26:00
29,15929.17058420171,6.202088074387321,32061.097729083664,123.78928548150775,-0.48094063851168495,0.38474203682620267,163.76499999999942,82.76000000000204,0.003674720362289472,1.1823510130914363,1900-01-01 12:26:10
30,15510.049561690566,6.228795574871706,32071.130610778448,128.45576845174818,-0.5381602268397446,0.2733441431792736,165.13999999999942,81.15999999999985,0.0035551232817906254,1.1830082208443609,1900-01-01 12:26:20
31,15434.995956948964,6.274563974016387,32052.914821643284,133.90001757375074,-0.45127230081974606,1.0532535768195475,159.59500000000116,79.75,0.0036404342220619137,1.1851070861862634,1900-01-01 12:26:30
32,17190.403421935258,6.238710008969408,31974.14207569721,128.49091306002245,-0.432748940851887,0.4824905722074133,165.13750000000073,81.91999999999825,0.003861246950870681,1.1817932675458338,1900-01-01 12:26:40
33,24813.483271018882,6.412291370780876,32007.45566332665,153.82557323381667,-0.185573650603479,-0.4360566025627133,228.7300000000032,114.7599999999984,0.00490880311128823,1.178842427210388,1900-01-01 12:26:50
34,27410.000569666707,6.39498649306218,32026.630262948205,160.2445064818763,-0.3165066984172699,-0.25362087582278825,233.58749999999782,117.01499999999942,0.005327497387380974,1.1784949294734628,1900-01-01 12:27:00
35,28140.355340176226,6.496402684893687,32058.335950280674,169.01890640829333,-0.22264586996605185,-0.2125343506408206,250.0174999999981,122.7599999999984,0.005467563203616046,1.1799072933997365,1900-01-01 12:27:10
36,25255.450575860214,6.414948718233998,32067.848752988044,159.57375146562012,-0.3186744280990394,-0.15669749401167188,243.32749999999942,122.51999999999862,0.0052086392411934265,1.1788412929199694,1900-01-01 12:27:20
37,17674.81940074298,6.259951579468029,32094.673935871742,132.44189724657545,-0.3400529913883456,0.30695106244358783,184.60499999999956,94.40000000000146,0.0041294942828069775,1.1807076994003816,1900-01-01 12:27:30
38,25778.133477042033,6.429484150905767,32067.631390438244,157.9700141418839,-0.35367679382156414,-0.09906984882161884,228.60499999999956,114.88500000000022,0.005060181823419621,1.178357698383363,1900-01-01 12:27:40
39,22203.181547045584,6.322755661911513,32091.10956312625,142.4907285990316,-0.1805907026285535,-0.3946374524044387,213.81500000000233,107.88999999999942,0.004672114542852643,1.1791323070734085,1900-01-01 12:27:50
40,22982.191338360517,6.376775096652302,32088.427784431136,150.00203570435482,-0.3703805237924697,-0.08083053335441637,226.94000000000233,113.52000000000044,0.0048545297426545,1.1791075254082248,1900-01-01 12:28:00
41,22889.760186895906,6.411825317423323,32086.985434262948,153.81885768148496,-0.22701754967488064,-0.5351052862163765,228.74999999999636,114.61500000000342,0.004865925408933967,1.179490842724899,1900-01-01 12:28:10
